,Mins
Mins,1.0
Mins_ewm_0.3,0.773787108389476
Mins_ewm_0.2,0.7718381358169838
Mins_ewm_0.5,0.7658677991407107
Mins_last5_mean,0.7613701363993358
Mins_ewm_0.1,0.76049182722493
Mins_last3_mean,0.7566149420424131
Mins_last10_mean,0.7546170509574359
Mins_last5_median,0.7503681693748782
Mins_last10_median,0.7458309532445059
Mins_last3_median,0.7432885447359099
PlayerRating_ewm_0.2,0.7174953998574374
PlayerRating_ewm_0.3,0.7153409570637231
PlayerRating_ewm_0.1,0.7104942003462638
PlayerRating_last10_mean,0.7062421672930547
PlayerRating_last5_mean,0.7056031062927203
PlayerRating_ewm_0.5,0.6988523026032847
PlayerRating_last10_median,0.6973344104087019
PlayerRating_last3_mean,0.6935494190713314
PlayerRating_last5_median,0.6897270742945267
